entity,jobs,icp,gtm,price_hint,platform,threat_to_gotrippin,route_spine_core,differentiation_vs_gotrippin,url,last_reviewed
TripIt,"J1,J6",Frequent flyer individual; business travel,Brand + app store + SEO,Pro ~49 USD/yr (verify),iOS Android web,high,no,Email ingestion trust moat; weak on messy group co-creation,https://www.tripit.com/,2026-04
Tripsy,"J1,J6",Apple-centric traveler,App Store + web marketing,~59 USD/yr; lifetime 299 (verify),Apple stack + Android + web,medium,no,Automation + flight ops + docs; not route-spine group story,https://tripsy.app/,2026-04
Wanderlog,"J2,J3",Solo and groups; map-first planners,Web start + app; heavy social proof,Free + Pro ~5/mo or ~30/yr (verify),Web iOS Android,high,no,Map+itinerary one view at scale; breadth not ordered-route discipline,https://wanderlog.com/,2026-04
Plan Harmony,"J2,J3,J4?",Friends family; some pro vertical,Web app + SEO + blog,tiered free+premium (verify live),Web,high,no,Voting budget tours marketplace AI; feature surface vs narrow route truth,https://www.planharmony.com/,2026-04
eHalo,"J2,J3",iOS group travelers,App Store,iOS free (verify),iOS only (public),medium,no,Polls offline public trips; no web-first parity,https://ehalo.travel/,2026-04
Planors,"J2,J3",Small groups SaaS mindset,Web signup SEO,Free tier metered; Pro 9/mo (verify),Web,medium,no,Tasks vote real-time; generic vs route-is-truth,https://www.planors.com/,2026-04
Triplanly,"J2,J3",Groups,Web,Free start NCC (verify),Web,medium,no,Shared map story; AI upcoming,https://www.triplanly.com/,2026-04
Huddle,"J2,J3",Group adventures,Web,unknown (verify),Web,medium,no,Voting photos flights stays breadth,https://huddle.travel/,2026-04
Pilot,"J2,J5?",Groups,Web SEO,Free tier claimed (verify),Web app,medium,no,AI + group narrative scale claims,https://www.pilotplans.com/,2026-04
GatherTrip,"J2,J3",Groups in chat,App + messaging angle,unknown,App (verify),low,no,Text as input; different UX metaphor,https://www.gathertrip.com/,2026-04
Journii,"J2",Groups,Web,Free core (verify),Web,low,no,Wanderlog alternative positioning,https://www.journii.xyz/,2026-04
SquadTrip,"J4",Trip organizers collecting money,Web B2C organizer,Starter free; paid tiers (verify),Web,low,no,Payments ops not route planning spine,https://www.squadtrip.com/,2026-04
Zeitrip,"J2,J6?",Planners needing schedule sanity,Web,unknown (verify),Web,low,partial,Timezone conflict detection niche,https://zeitrip.com/,2026-04
Google Sheets,"J2,J3",Everyone,Free embed,Free,Web,high,no,Flexibility; no first-class route model,https://www.google.com/sheets/about/,2026-04
WhatsApp,"J2,J3",Everyone,Ubiquitous,Free,Mobile,medium,no,Zero switching cost chaos,https://www.whatsapp.com/,2026-04
AI trip generator (generic),"J5",Experimenters,SEO landing pages,Freemium varies,Web,low,no,Commodity output; weak shared evolving truth,,(n/a),2026-04
gotrippin (self),"J2",Friend-family crews web-first,Web SEO product-led,Pre-monetization focus (verify),Web RN later,none,yes,Route-first spine + timeline map isomorphism + share members,,2026-04
